name,category,address,website,plus_code,comment_avg,comment_count
Straż Miejska,Straż Miejska,"Rynek 4, 67-400 Wschowa, Polen",mapa.targeo.pl,"R839+86 Wschowa, Polen","2,4",7
City hall,Kommunalverwaltung,"Rynek, 64-100 Leszno, Polen",,"RHVF+GH Leszno, Polen","5,0",1
Urząd Miasta i Gminy Szlichtyngowa,Stadtverwaltung,"Rynek 1, 67-407 Szlichtyngowa, Polen",bip.szlichtyngowa.pl,"P67V+8V Szlichtyngowa, Polen","3,8",5
ZUS Inspektorat w Nowej Soli,Behörde,"Kościuszki 29, 67-100 Nowa Sól, Polen",zus.pl,"RP54+CM Nowa Sól, Polen","2,7",26
Urząd Miejski w Nowym Miasteczku,Stadtverwaltung,"Rynek 2, 67-124 Nowe Miasteczko, Polen",,"MPRJ+7F Nowe Miasteczko, Polen","4,8",4
Urząd Gminy Kolsko,Bezirksverwaltung,"Piastowska 12, 67-415 Kolsko, Polen",kolsko.bip.net.pl,"XX68+M7 Kolsko, Polen","4,3",4
Wieża ratuszowa,Rathaus,"Rynek 36, 68-100 Żagań, Polen",,"J87C+V7 Sagan, Polen","5,0",2
Mazowiecki Provincial Office,Kommunalverwaltung,"Muranowska 1, 00-192 Warszawa, Polen",,"7X3X+9F Warschau, Polen",,
Leśniczówka Wilków. Nadleśnictwo Głogów,Forstamt,"Głogowska, 67-407 Szlichtyngowa, Polen",,"P64P+2C Szlichtyngowa, Polen",,
Sala wiejska,Rathaus,"DK12, 67-400 Dębowa Łęka, Polen",,"R98J+WC Dębowa Łęka, Polen","5,0",7
Urząd Gminy Pomiechówek. Siedziba,Bezirksverwaltung,"Szkolna 1A, 05-180 Pomiechówek, Polen",bip.pomiechowek.pl,"FPFR+QJ Pomiechówek, Polen","3,8",10
Rathaus der Stadt Frankfurt,Rathaus,"Marktpl. 4, 15230 Frankfurt (Oder), Deutschland",frankfurt-oder.de,"8HV3+MM Frankfurt (Oder), Deutschland","4,2",59
Osiedle Baśniowych Dębów,Stadtplanungsamt,"05-126, Polen",,"C3HV+P2 Wólka Radzymińska, Polen","5,0",1
Sołtys,Büro der Landesregierung,"Kozłówka 3, 06-126 Kozłówka, Polen",,"PXV4+VX Kozłówka, Polen","5,0",1
Nadleśnictwo Lipinki Łużyckie Leśnictwo Żagań,Forstamt,"Wesoła 50, 68-100 Żagań, Polen",zielonagora.lasy.gov.pl,"J72M+MW Sagan, Polen","5,0",1
Urząd Miasta. Wydział Komunikacji,Stadtverwaltung,"Henryka Sienkiewicza 8a, 65-443 Zielona Góra, Polen",bip.zielonagora.pl,"WGJ5+XV Zielona Góra, Polen","2,0",418
Registry Office,Bezirksverwaltung,"Stary Szelków 39, 06-220 Stary Szelków, Polen",,"R6C5+63 Szelków, Polen","4,3",4
Gazeta Łomiankowska.pl,Verlag,"Stanisława Staszica 2, 05-092 Łomianki, Polen",,"8VVF+FH Łomianki, Polen",,
Leśnictwo Sokołówek,Forstamt,"Dąbrówka, Polen",,"G73X+7P Dąbrówka, Polen","5,0",1
Ratusz w Serocku,Stadtverwaltung,"Rynek 21, 05-140 Serock, Polen",,"G37F+C9 Serock, Polen","4,0",4
Leśnictwo Stawy. Nadleśnictwo Żagań,Forstamt,"Traugutta 3, 68-120 Iłowa, Polen",bip.lasy.gov.pl,"F5VV+H4 Iłowa, Polen","5,0",1
Inżynierska 03,Städtische Verkehrsabteilung,"03-447 Warsaw, Polen",,"725M+4Q Warschau, Polen","5,0",1
Powiatowy Zarząd Dróg Publicznych,Kommunalverwaltung,"Kościelna 109, 26-800 Białobrzegi, Polen",pzdpbialobrzegi.pl,"JWR8+GW Białobrzegi, Polen","4,0",6
Naczelny Sąd Administracyjny Izba Gospodarcza,Städtisches Gerichtsgebäude,"Jasna 6, 00-015 Warszawa, Polen",,"62M6+GX Warschau, Polen","1,0",1
Leśnictwo Bulkowo. Nadleśnictwo Pułtusk,Forstamt,"06-120 Stare Bulkowo, Polen",,,,
Nadleśnictwo w Garwolinie. Leśnictwo,Forstamt,"08-470 Ruda Tarnowska, Polen",,"QFM3+GP Ruda Tarnowska, Polen",,
EURICA LTD Sp. z o.o. Oddział w Polsce,Arbeitsamt,"Bohaterów Westerplatte 23, 65-078 Zielona Góra, Polen",,"WGV5+JP Zielona Góra, Polen","5,0",1
Leśnictwo Turno. Nadleśnictwo Dobieszyn,Forstamt,"Gajowa 7, 26-800 Białobrzegi, Polen",,"JXV6+F3 Białobrzegi, Polen",,
Nadleśnictwo w Garwolinie. Leśnictwo,Forstamt,"08-470 Cyganówka; 48, Polen",,"VC6J+XH Cyganówka, Polen","4,8",13
Wojewódzki Inspektorat Nadzoru Budowlanego,Behörde für öffentliche Sicherheit,"Zjednoczenia 110B, 65-120 Zielona Góra, Polen",,"XF3M+75 Zielona Góra, Polen",,
Leśnictwo. Nadleśnictwo w Garwolinie,Forstamt,"Uścieniec 42, 08-450 Uścieniec, Polen",garwolin.warszawa.lasy.gov.pl,"RF5P+Q9 Uścieniec, Polen","5,0",1
Zarząd Gruntów i Lasów Wspólnych,Forstamt,"Przylesie 7, 05-640 Mogielnica, Polen",,"MPVH+PX Mogielnica, Polen",,
Leśnictwo. Nadleśnictwo w Garwolinie,Forstamt,"08-450 Kacprówek, Polen",,,"3,0",1
Andrzej Kaczor - Pośrednictwo w rejestracji pojazdów,Registrierungsbehörde,"Sienkiewicza 8 B, 65-443 Zielona Góra, Polen",,"WGJ5+XV Zielona Góra, Polen",,
Nadleśnictwo w Garwolinie. Leśnictwo,Forstamt,"08-460 Nowa Krępa, Polen",,,,
Leśniczówka Leśnictwa Borowina,Forstamt,"Waliska 4, 26-420 Waliska, Polen",grojec.radom.lasy.gov.pl,"HJQ6+QJ Waliska, Polen","4,8",5
Leśniczówka. Leśnictwo Huta Garwolińska,Forstamt,"Dębowa 1, 08-400 Wola Rębkowska, Polen",,"VGXW+HV Wola Rębkowska, Polen",,
Leśnictwo. Nadleśnictwo w Garwolinie,Forstamt,"08-455 Podebłocie; 193, Polen",,"JQX6+WC Podebłocie, Polen",,
Urząd Miasta i Gminy Wyśmierzyce,Bezirksverwaltung,"Adama Mickiewicza 75, 26-811 Wyśmierzyce, Polen",wysmierzyce.pl,"JRGF+57 Wyśmierzyce, Polen","3,2",9
Urząd Gminy Promna,Bezirksverwaltung,"Promna-Kolonia 5, 26-803 Promna, Polen",promna.pl,"MXG3+XX Promna, Polen",,
Urząd Gminy w Sobolewie,Bezirksverwaltung,"Rynek 1, 08-460 Sobolew, Polen",sobolew.pl,"PMR9+HF Sobolew, Polen","3,6",10
ZUS Inspektorat w Garwolinie,Behörde,"Tadeusza Kościuszki 38A, 08-400 Garwolin, Polen",zus.pl,"WJ27+24 Garwolin, Polen","2,5",17
Ćwiek Mieczysław. Usługi leśne,Forstamt,"Matyldzin 10, 26-804 Matyldzin, Polen",,"J6V4+J9 Matyldzin, Polen",,
Leśnictwo. Nadleśnictwo Studzianki,Forstamt,"26-902 Paprotnia, Polen",,"M7WM+GG Paprotnia, Polen",,
Urząd Gminy,Bezirksverwaltung,"Piaski 4, 26-804 Stromiec, Polen",ugstromiec.pl,"J3WR+8P Stromiec, Polen","2,3",4
Nadleśnictwo Dobieszyn,Forstamt,"26-804 Dobieszyn, Polen",dobieszyn.radom.lasy.gov.pl,"J5PP+67 Dobieszyn, Polen","4,9",9
Brwinów Ratusz,Bezirksverwaltung,"Grodziska 12, 05-840 Brwinów, Polen",,"4PQ8+X4 Brwinów, Polen","4,0",5
J K Trans,Transportdienst,"Lewiczyńska 132, 05-600 Grójec, Polen",,"VV26+R7 Grójec, Polen",,
Gminne Centrum Zarządzania Kryzysowego,Stadtverwaltung,"Piłsudskiego 47, 05-600 Grójec, Polen",,"VV7H+W6 Grójec, Polen",,
Leśnictwo Chinów. Nadleśnictwo Kozienice,Forstamt,"Serdeczna 7, 26-900 Aleksandrówka, Polen",,"HGCM+JF Aleksandrówka, Polen",,
Sąd Rejonowy III Wydział Rodzinny i Nieletnich,Städtisches Gerichtsgebäude,"Jana III Sobieskiego 47, 05-118 Legionowo, Polen",,"9WV9+WP Legionowo, Polen",,
Leśnictwo Policzna. Nadleśnictwo Zwoleń,Forstamt,"Leśna 1, 26-720 Policzna, Polen",bip.lasy.gov.pl,"FJ59+8Q Policzna, Polen",,
Lasy Państwowe. Nadleśnictwo Jabłonna. Leśnictwo Kąty Węgierskie.,Forstamt,"plac Wolności 5, 05-126 Nieporęt, Polen",jablonna.warszawa.lasy.gov.pl,"C2CG+WF Nieporęt, Polen","5,0",3
Leśnictwo Wilczoruda. Nadleśnictwo Grójec,Forstamt,"05-652 Wilczoruda; 5, 05-652, Polen",grojec.radom.lasy.gov.pl,"VMWJ+5W Wilczoruda, Polen",,
Urząd Stanu Cywilnego,Standesamt,"Czachowskiego 1, 27-310 Ciepielów, Polen",,"6HWF+RP Ciepielów, Polen",,
Leśnictwo Osuchów. Nadleśnictwo Grójec,Forstamt,"Leśna 20A, 96-323 Osuchów, Polen",krosno.lasy.gov.pl,"WH2H+2G Osuchów, Polen","3,5",2
Sołtys,Büro der Landesregierung,"Wola Solecka Pierwsza 35, 27-300 Wola Solecka Pierwsza, Polen",,"5PJ7+9J Wola Solecka Pierwsza, Polen",,
Urząd Miasta i Gminy Sienno,Stadtverwaltung,"Rynek 36/40, 27-350 Sienno, Polen",sienno.pl,"3FPF+4F Sienno, Polen","1,0",1
Nadleśnictwo Jabłonna. Lasy państwowe.,Forstamt,"DW632, 05-110 Jabłonna, Polen",,"9XR8+5X Jabłonna, Polen","1,0",1
Urząd Miasta i gminy,Bezirksverwaltung,"Rynek 1, 27-320 Solec nad Wisłą, Polen",solec.pl,"4QM8+VQ Solec nad Wisłą, Polen","4,4",5
Lasy Państwowe. Nadleśnictwo Jabłonna. Leśnictwo Poniatów.,Forstamt,"Leśna 8, 05-124 Skrzeszew, Polen",,"FW29+GG Skrzeszew, Polen",,
National forests. Jabłonna Forest District.,Forstamt,"Wiejska 20, 05-110 Jabłonna, Polen",jablonna.warszawa.lasy.gov.pl,"9WMM+FG Jabłonna, Polen","4,1",13
Przystanek Arynów 02,Städtische Verkehrsabteilung,"Mińsk Mazowiecki, Polen",minskmazowiecki.pl,"6G4P+8R Mińsk Mazowiecki, Polen","2,0",1
Leśniczówka,Forstamt,"Krajewo 1B, 06-500 Mława, Polen",vod.tvp.pl,"49XJ+Q9 Mława, Polen",,
Leśnictwo Rudówka. Nadleśnictwo Giżycko,Forstamt,"E77, Mława, Polen",gizycko.bialystok.lasy.gov.pl,,,
Przystanek Brzóze,Städtische Verkehrsabteilung,"Stanisławowska 10, 05-303 Brzóze, Polen",,"6G7Q+99 Brzóze, Polen","5,0",1
ZUS Inspektorat w Mławie,Behörde,"Padlewskiego 29/31, 06-500 Mława, Polen",zus.pl,"498P+F7 Mława, Polen","3,0",8
Powiatowe Centrum Zarządzania Kryzysowego,Behörde,"Padlewskiego 15, 06-500 Mława, Polen",bip.powiatmlawski.pl,"497M+GP Mława, Polen",,
Przystanek Brzóze leśna,Transportdienst,"Stanisławowska 22, 05-303 Brzóze, Polen",,"6GJR+JH Brzóze, Polen","2,0",1
Urząd Gminy Krasne,Bezirksverwaltung,"Adama Mickiewicza 23, 06-408 Krasne, Polen",krasne.pl,"WXC9+7M Krasne, Polen","5,0",1
Leśnictwo Rytomoczydła,Forstamt,"05-604 Ryszki, Polen",,"R373+22 Ryszki, Polen",,
Leśnictwo modrzewina. Nadleśnictwo Grójec,Forstamt,"Unnamed Road, 05-622 Łęczeszyce, Polen",,"QRJ3+MM Łęczeszyce, Polen","5,0",2
Szkółka Leśna. Nadleśnictwo Grójec,Forstamt,"Mszczonowska 42, 96-321, Polen",grojec.radom.lasy.gov.pl,"XMXC+RH Ciepłe, Polen","5,0",1
Urząd Gminy Czosnów,Bezirksverwaltung,"Gminna 6, 05-152 Czosnów, Polen",czosnow.pl,"9PRJ+JR Czosnów, Polen","4,4",14
Leśnictwo Szczypiorno. Nadleśnictwo Jabłonna,Forstamt,"Słowiańska 30A, 05-180 Szczypiorno, Polen",jablonna.warszawa.lasy.gov.pl,"FMWF+62 Szczypiorno, Polen","3,0",2
Urząd Gminy,Landesregierungsamt,"09-152 Naruszewo; 19a, 09-152, Polen",naruszewo.pl,"G9H7+G9 Naruszewo, Polen","4,5",31
Leśnictwo Pomiechówek. Nadleśnictwo Jabłonna,Forstamt,"Nadleśnictwo 11, 05-180 Czarnowo, Polen",jablonna.warszawa.lasy.gov.pl,"FPMM+VF Czarnowo, Polen","3,5",2
Urząd Miasta i Gminy Nowe Miasto,Bezirksverwaltung,"Apteczna 8, 09-120 Nowe Miasto, Polen",ugnowemiasto.pl,"MJ4J+RF Nowe Miasto, Polen","4,8",11
Leśnictwo Łęg. Nadleśnictwo Ostrołęka,Forstamt,"07-402 Łęg Starościński; 128, 07-402, Polen",ostroleka.olsztyn.lasy.gov.pl,"4JPV+52 Laskowiec, Polen",,
Urząd Miejski w Nasielsku,Stadtverwaltung,"Elektronowa 3, 05-190 Nasielsk, Polen",nasielsk.pl,"HRP6+QX Nasielsk, Polen","3,8",60
Leśnictwo Komorza. Nadleśnictwo Woziwoda,Forstamt,"Dąbrówka 6, 05-152 Dąbrówka, Polen",,"9J25+G4 Dąbrówka, Polen",,
Urząd Miast,Stadtverwaltung,"Rynek 6, 05-870 Błonie, Polen",,"5JV9+V6 Błonie, Polen",,
Urząd Miasta i Gminy Konstancin-Jeziorna,Stadtverwaltung,"Piaseczyńska 77, 05-520 Konstancin-Jeziorna, Polen",konstancinjeziorna.pl,"34V7+5X Konstancin-Jeziorna, Polen","3,6",64
Leśniczówka,Forstamt,"Marii Skłodowskiej-Curie 2, 05-555 Świętochów, Polen",,"XQ6W+9M Świętochów, Polen","5,0",1
Stowarzyszenie Leśników i Właścicieli Lasów,Forstamt,"Widok 19, 05-430 Celestynów, Polen",elasy.pl,"395C+RF Celestynów, Polen","5,0",1
Leśnictwo Sierzchów,Forstamt,"Leśnictwo Sierzchów, 05-532 Karolina 64, Polen",chojnow.warszawa.lasy.gov.pl,"X5CF+2X Krzymów, Polen","4,7",3
Leśnictwo Lelis. Nadleśnictwo Ostrołęka,Forstamt,"07-402, Łęg Starościński 128, 07-402, Polen",,"5J2Q+29 Łęg Starościński, Polen","5,0",1
Urząd Gminy Olszewo-Borki,Bezirksverwaltung,"Władysława Broniewskiego 13, 07-415 Olszewo-Borki, Polen",olszewo-borki.pl,"3G8H+WC Olszewo-Borki, Polen","3,7",6
Leśniczówka. Leśnictwo Borawe. Nadleśnictwo Ostrołęka,Forstamt,"Dzbenin 74, 07-410 Dzbenin, Polen",,"2GVV+GQ Dzbenin, Polen","5,0",2
Leśnictwo Zapniów. Nadleśnictwo Przysucha,Forstamt,"Kuźnica 145, 26-400 Kuźnica, Polen",przysucha.radom.lasy.gov.pl,"8J52+FP Kuźnica, Polen","4,0",1
POWIATOWY ZESPÓŁ DO ORZEKANIA O NIEPEŁNOSPRAWNOŚCI W PŁOCKU,Kommunalverwaltung,"Stanisława Zgliczyńskiego 4, 09-400 Płock, Polen",mopsplock.eu,"HM4P+4C Płock, Polen","3,9",15
Sąd Rejonowy III Wydział Rodzinny i Nieletnich,Städtisches Gerichtsgebäude,"Staszica 11, 26-400 Przysucha, Polen",,"9J3H+52 Przysucha, Polen",,
Zakład Oczyszczania w Józefowie,Entsorgungsunternehmen,"Kardynała Stefana Wyszyńskiego 7, 05-420 Józefów, Polen",zojozefow.pl,"46PM+44 Józefów, Polen",,
Plac Corazziego,Kommunalverwaltung,"plac Antonio Corazziego, 26-600 Radom, Polen",,"C525+C5 Radom, Polen","4,3",6
Urząd Gminy,Bezirksverwaltung,"07-322 Nur; Drohiczyńska 2, Drohiczyńska 2, 07-322 Nur, Polen",gminanur.pl,"M899+5H Nur, Polen",,
Leśniczówka. Nadleśnictwo Radziwiłłów,Forstamt,"Wyszogrodzka 71, 96-503 Sochaczew, Polen",radziwillow.lodz.lasy.gov.pl,"776G+R7 Sochaczew, Polen","5,0",1
Urząd Gminy,Bezirksverwaltung,"Parkowa 7, 08-307 Repki, Polen",repki.pl,"99MP+XG Repki, Polen","5,0",2
"Nadleśnictwo Przysucha - Leśnictwo Rawicz, leśniczy - Piotr Jankowski",Forstamt,"Targowa 58, 26-400 Przysucha, Polen",przysucha.radom.lasy.gov.pl,"8JX7+P9 Przysucha, Polen","3,0",2
Urząd Miasta i Gminy Odrzywół,Bezirksverwaltung,"Warszawska 53, 26-425 Odrzywół, Polen",odrzywol.eu,"GHF3+7M Odrzywół, Polen","3,0",3
Leśnictwo Borkowice. Nadleśnictwo Przysucha,Forstamt,"Krakowa Góra 30, 26-422 Borkowice, Polen",,"8MCG+PG Borkowice, Polen",,
Powiatowe Centrum Pomocy Rodzinie w Sochaczewie,Sozialministerium,"Marszałka Józefa Piłsudskiego 65, 96-500 Sochaczew, Polen",,"669R+9X Sochaczew, Polen",,
Urząd Gminy Młodzieszyn,Bezirksverwaltung,"Wyszogrodzka 25, 96-512 Młodzieszyn, Polen",mlodzieszyn.pl,"8632+4H Młodzieszyn, Polen","3,6",8
Urząd Gminy Potworów,Bezirksverwaltung,"Radomska 2A, 26-414 Potworów, Polen",potworow.pl,"GP5F+49 Potworów, Polen","4,5",4
Leśnictwo,Forstamt,"09-506 Popłacin, Polen",,,"5,0",1
Remax - agencja pracy w Niemczech,Arbeitsamt,"25 Czerwca 34, 26-600 Radom, Polen",remax-praca.pl,"95W6+MF Radom, Polen",,
Starostwo Powiatowe. Wydział Komunikacji i Transportu,Be­zirks­amt,"3 Maja 10, 05-530 Góra Kalwaria, Polen",bip.piaseczno.pl,"X6J9+J5 Góra Kalwaria, Polen","2,7",19
EUROKADRA Sochaczew,Arbeitsamt,"aleja 600-lecia 45, 96-500 Sochaczew, Polen",eurokadra.com,"66QX+XR Sochaczew, Polen","4,6",9
Urząd Gminy w Wieniawie,Bezirksverwaltung,"Kochanowskiego 88, 26-432 Wieniawa, Polen",,"9Q6V+W8 Wieniawa, Polen","2,8",4
Leśnictwo Drzewica. Nadleśnictwo Przysucha,Forstamt,"Juliusza Słowackiego 33, 26-340 Drzewica, Polen",przysucha.radom.lasy.gov.pl,"FF2P+GJ Drzewica, Polen",,
Urząd Gminy Lesznowola,Bezirksverwaltung,"Gminna 60, 05-506 Lesznowola, Polen",lesznowola.pl,"3WRP+8M Lesznowola, Polen","3,9",191
Urząd Miasta i Gminy Gielniów,Bezirksverwaltung,"Plac Wolności 75, 26-434 Gielniów, Polen",gielniow.radom.pl,"9FXG+XM Gielniów, Polen","5,0",3
Urząd Miasta - rozliczanie stypendiów,Bezirksverwaltung,"Marszałkowska 87, 00-527 Warszawa, Polen",,"62G7+X2 Warschau, Polen",,
Metro Świętokrzyska 04,Verkehrsministerium,"Unnamed Road, 00-008 Warszawa, Polen",,"62M4+WV Warschau, Polen","4,3",34
ADK 3,Kommunalverwaltung,"4 (WEJŚCIE OD MOKOTOWSKIEJ 56), Wilcza 2, 00-538 Warszawa, Polen",,"62GF+H2 Warschau, Polen","1,5",2
Warsaw City Hall,Stadtverwaltung,"plac Defilad 1, 00-901 Warszawa, Polen",um.warszawa.pl,"62J4+PC Warschau, Polen","2,7",7
Leśnictwo Jęczniki. Nadleśnictwo Korpele,Forstamt,"plac Marszałka Józefa Piłsudskiego 1-3, 00-078 Warszawa, Polen",,"62R7+V3 Warschau, Polen",,
Centrum Komunikacji Społecznej Urzędu m.st. Warszawy,Stadtverwaltung,"Leona Kruczkowskiego 2, 00-412 Warszawa, Polen",warszawa19115.pl,"62JJ+76 Warschau, Polen","5,0",3
Wola-Ratusz,Rathaus,"al. „Solidarności” 90, 01-003 Warszawa, Polen",wola.um.warszawa.pl,"6XRQ+32 Warschau, Polen","4,1",204
Kurdistan Regional Government Representation in Poland,Kommunalverwaltung,"aleje Jerozolimskie street 53, 00-697 Warszawa, Polen",,"62H5+F6 Warschau, Polen","5,0",1
Wieża ratuszowa,Rathaus,"Senatorska 18, 00-950 Warszawa, Polen",,"62V5+PM Warschau, Polen","4,7",9
Śródmieście District City Hall,Stadtbezirksamt,"Nowogrodzka 43, 00-691 Warszawa, Polen",srodmiescie.um.warszawa.pl,"62H6+68 Warschau, Polen","3,3",120
Wspólnota Mieszkaniowa Jasna 7,Wohnungsbaubehörde,"7, Konstantego Ildefonsa Gałczyńskiego, 00-362 Warszawa, Polen",,"62M9+XP Warschau, Polen",,
Municipal Office in Ożarów Mazowiecki,Stadtverwaltung,"Kolejowa 2, 05-850 Ożarów Mazowiecki, Polen",ozarow-mazowiecki.pl,"6Q5X+74 Ożarów Mazowiecki, Polen","4,0",27
Zakład Usług Komunalnych,Entsorgungsunternehmen,"Poznańska 165, 05-850 Ożarów Mazowiecki, Polen",bip.ozarow-mazowiecki.pl,"6R53+XJ Ożarów Mazowiecki, Polen","2,6",7
Stok Mariusz. Usługi leśne,Forstamt,"Leśna, 05-860, Polen",,"5MRW+36 Józefów, Polen",,
Sołtys,Bezirksregierungsstelle,"Nowa Górna 16, 05-870 Nowa Górna, Polen",,"6GC9+5C Nowa Górna, Polen",,
Pętla autobusowa Górczewska,Städtische Verkehrsabteilung,"pętla autobusowa Os. Górczewska, 01-459 Warszawa, Polen",,"6VQX+HJ Warschau, Polen","4,1",8
Ratusz Miasta Błonie,Rathaus,"Rynek 6, 05-870 Błonie, Polen",blonie.pl,"5JV9+V6 Błonie, Polen","4,5",10
Planowana stacja techniczno-postojowa Mory,Städtische Verkehrsabteilung,"Mory 4, 01-330 Warszawa, Polen",,"6V6F+F9 Warschau, Polen","4,0",8
Urząd Gminy Kampinos,Bezirksverwaltung,"Niepokalanowska 3, 05-085 Kampinos, Polen",kampinos.pl,"7F87+H3 Kampinos, Polen","4,0",8
Urząd Gminy Izabelin,Bezirksverwaltung,"3 Maja 42, 05-080 Izabelin C, Polen",izabelin.pl,"7RV8+47 Izabelin C, Polen","4,7",27
Leśnictwo Przetycz. Nadleśnictwo Wyszków,Forstamt,"07-210 Przetycz-Folwark, Polen",,,,
Leśnictwo Rybienko,Forstamt,"Przelotowa 34, 07-201 Wyszków, Polen",drewnica.warszawa.lasy.gov.pl,"HFM6+83 Wyszków, Polen",,
Urząd Gminy w Brańszczyku,Bezirksverwaltung,"Jana Pawła II 45, 07-221 Brańszczyk, Polen",branszczyk.pl,"JHHP+89 Brańszczyk, Polen","4,2",42
Leśnictwo Wiśniewo. Nadleśnictwo Wyszków,Forstamt,"07-308 Wiśniewo; 60, 07-308, Polen",,"QP64+7W Wiśniewo, Polen",,
Leśnictwo. Nadleśnictwo w Łochowie,Forstamt,"Stadionowa 1, 07-100 Węgrów, Polen",,"92W8+2G Węgrów, Polen",,
Leśnictwo. Nadleśnictwo w Łochowie,Forstamt,"07-132 Ogrodniki, Polen",,,,
Urząd Miasta i Gminy,Stadtverwaltung,"Aleja Pokoju 75, 07-130 Łochów, Polen",gminalochow.pl,"GMHP+89 Łochów, Polen","2,3",3
Rada osiedla nr 14 Legionów Henryka Dąbrowskiego,Wohnungsbaubehörde,"Osiedle Legionów Imienia H. Dąbrowskiego 10, 33-100 Tarnów, Polen",,"22G3+H6 Tarnów, Polen",,
Leśnictwo. Nadleśnictwo w Łochowie,Forstamt,"07-104 Stoczek, Polen",,,,
Nadleśnictwo w Mińsku Mazowieckim. Leśnictwo,Forstamt,"05-307 Poręby Stare, Polen",,,,
Apartament Przy Ratuszu,Rathaus,"Chruściela 37-39 m4, Warsaw, 04-454, 04-454, Polen",,"7566+2W Warschau, Polen",,
Leśniczówka,Forstamt,"Motorzyny 23, 26-700 Motorzyny, Polen",,"9HP3+WX Motorzyny-Leśniczówka, Polen",,
Urząd Gminy w Klembowie,Bezirksverwaltung,"Generała Franciszka Żymirskiego 38, 05-205 Klembów, Polen",klembow.pl,"C84M+65 Klembów, Polen","3,7",13
Urząd Miasta i Gminy,Stadtverwaltung,"Wolności 3, 33-230 Szczucin, Polen",szczucin.pl,"835G+VR Szczucin, Polen","3,1",11
Urząd Gminy Gręboszów,Bezirksverwaltung,"Gręboszów 144, 33-260 Gręboszów, Polen",greboszow.pl,"6QVJ+P3 Gręboszów, Polen","3,0",3
City Hall Kobylka,Stadtverwaltung,"Wołomińska 1, 05-230 Kobyłka, Polen",kobylka.pl,"86P7+RM Kobyłka, Polen","3,9",38
OptiBiznes,Städtisches Finanzamt,"Matki Boskiej Bolesnej 9, 34-600 Limanowa, Polen",optibiznes.pl,"PC4F+FJ Limanowa, Polen",,
Urząd Miasta Limanowa,Stadtverwaltung,"Jana Pawła II 9, 34-600 Limanowa, Polen",miastolimanowa.pl,"PC5C+35 Limanowa, Polen","2,6",14
Urząd Gminy,Bezirksverwaltung,"Kamienica 420, 34-608 Kamienica, Polen",kamienica.net.pl,"H8GV+24 Kamienica, Polen","2,8",6
Urząd gminy w Olszance,Bezirksverwaltung,"Olszanka 37, 08-207 Olszanka, Polen",,"4MW9+J9 Olszanka, Polen","3,9",7
Urząd Miasta i Gminy w Wieliczce,Stadtverwaltung,"Bolesława Limanowskiego 32, 32-020 Wieliczka, Polen",wieliczka.eu,"X3J7+9G Wieliczka, Polen","4,4",13
Biuro Obsługi Mieszkańca,Kommunalverwaltung,"Powstania Warszawskiego 18, 32-020 Wieliczka, Polen",,"X3M6+PQ Wieliczka, Polen",,
